id,desc
1,Problemas con la pareja o familia  
2,Problemas de salud
3,Desempleo
4,Finalización del contrato de alquiler
5,"Vivienda inhabitable (en ruinas, demolida, quemada...)  "
6,Finalización de estancia en una institución y carencia de vivienda
7,Problemas económicos/ingresos insuficientes (desahucio...)
8,Otros
