id,desc
00,Menos que primaria
10,Educación primaria
20,Primera etapa de Educación Secundaria
30,Segunda etapa de Educación Secundaria
34,Para personas de 16 a 34 años: Orientación general
35,Para personas de 16 a 34 años: Orientación profesional
40,Educación postsecundaria no superior
45,Para personas de 16 a 34 años: Orientación profesional
50,Educación superior
